App,Package,Start Time,Duration,Filename
"System",,"Oct 25, 2019 @ 11:44:40 PM","51 sec","Trepn_2019.10.25_234440.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",
1,3,0,6021,
14,3,100,6021,
100,3,200,6021,
200,3,301,6021,
301,3,351,6021,
351,3,451,6021,
452,3,553,6021,
553,3,654,6021,
655,3,752,6021,
752,3,852,6021,
853,3,954,6021,
954,3,1056,6021,
1056,3,1158,6021,
1158,3,1259,6021,
1259,3,1359,6021,
1359,3,1459,6021,
1460,3,1560,6021,
1561,3,1661,6021,
1662,3,1762,6021,
1762,3,1863,6021,
1864,3,1962,6021,
1963,3,2063,6021,
2063,3,2163,6021,
2163,3,2264,6021,
2264,3,2364,6021,
2364,3,2465,6021,
2465,3,2565,6021,
2566,3,2666,6021,
2666,3,2767,6021,
2767,3,2867,6021,
2867,3,2967,6021,
2967,3,3068,6021,
3068,3,3169,6021,
3169,3,3270,6021,
3270,3,3369,6021,
3370,3,3470,6021,
3471,3,3571,6021,
3572,3,3671,6021,
3672,3,3772,6021,
3772,3,3874,6021,
3875,3,3976,6021,
3976,3,4077,6021,
4077,3,4177,6021,
4177,3,4277,6021,
4278,3,4378,6021,
4378,3,4479,6021,
4480,3,4580,6021,
4581,3,4682,6021,
4682,3,4782,6021,
4782,3,4883,6021,
4884,3,4983,6021,
4984,3,5084,6021,
5085,3,5185,6021,
5185,3,5286,6021,
5287,3,5387,6021,
5388,3,5489,6021,
5489,3,5588,6021,
5588,3,5689,6021,
5689,3,5792,6021,
5792,3,5891,6021,
5891,3,5991,6021,
5992,3,6092,6021,
6092,3,6192,6021,
6193,3,6293,6021,
6293,3,6394,6021,
6394,3,6495,6021,
6495,3,6596,6021,
6596,3,6696,6021,
6697,3,6798,6021,
6798,3,6898,6021,
6898,3,6999,6021,
6999,3,7100,6021,
7100,3,7200,6021,
7201,3,7301,6021,
7301,3,7401,6021,
7401,3,7502,6021,
7503,3,7603,6021,
7603,3,7703,6021,
7703,3,7804,6021,
7804,3,7906,6021,
7906,3,8006,6021,
8007,3,8107,6021,
8107,3,8208,6021,
8209,3,8309,6021,
8309,3,8410,6021,
8410,3,8511,6021,
8511,3,8613,6021,
8613,3,8713,6021,
8713,3,8814,6021,
8814,3,8914,6021,
8914,3,9015,6021,
9015,3,9115,6021,
9115,3,9216,6021,
9216,3,9316,6021,
9316,3,9417,6021,
