App,Package,Start Time,Duration,Filename
"System",,"Oct 26, 2019 @ 04:03:54 PM","3 min 42 sec","Trepn_2019.10.26_160354.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",
0,3,11,4003,
11,3,112,4003,
112,3,212,4003,
213,3,312,4003,
313,3,413,4003,
413,3,513,4003,
513,3,615,4003,
616,3,715,4003,
716,3,815,4003,
815,3,916,4003,
916,3,966,4003,
966,3,1066,4003,
1066,3,1167,4003,
1167,3,1267,4003,
1267,3,1368,4003,
1368,3,1469,4003,
1469,3,1569,4003,
1569,3,1670,4003,
1670,3,1770,4003,
1770,3,1872,4003,
1872,3,1971,4003,
1972,3,2072,4003,
2073,3,2173,4003,
2173,3,2273,4003,
2273,3,2373,4003,
2374,3,2475,4003,
2476,3,2574,4003,
2575,3,2675,4003,
2675,3,2775,4003,
2776,3,2876,4003,
2876,3,2976,4003,
2976,3,3077,4003,
3077,3,3180,4003,
3180,3,3281,4003,
3281,3,3382,4003,
3382,3,3481,4003,
3482,3,3582,4003,
3582,3,3683,4003,
3683,3,3783,4003,
3783,3,3884,4003,
3884,3,3984,4003,
3984,3,4084,4003,
4084,3,4184,4003,
4185,3,4285,4003,
4285,3,4385,4003,
4385,3,4486,4003,
4486,3,4586,4003,
4586,3,4686,4003,
4686,3,4787,4003,
4787,3,4888,4003,
4889,3,4988,4003,
4988,3,5088,4003,
5088,3,5189,4003,
5189,3,5289,4003,
5289,3,5391,4003,
5391,3,5490,4003,
5491,3,5591,4003,
5591,3,5692,4003,
5693,3,5792,4003,
5793,3,5893,4003,
5893,3,5993,3334,
5993,3,6094,3334,
6094,3,6194,3334,
6194,3,6295,3334,
6295,3,6395,3334,
6395,3,6503,3334,
6504,3,6596,3334,
6597,3,6697,3334,
6697,3,6797,3334,
6797,3,6898,3334,
6898,3,6998,3334,
6998,3,7099,3334,
7099,3,7199,3334,
7199,3,7300,3334,
7300,3,7400,3334,
7400,3,7505,3334,
7505,3,7605,3334,
7605,3,7706,3334,
7706,3,7806,3334,
7806,3,7907,3334,
7907,3,8007,3334,
8007,3,8107,3334,
8108,3,8208,3334,
8208,3,8309,3334,
8309,3,8410,3334,
8410,3,8510,3334,
8510,3,8610,3334,
8611,3,8711,3334,
8711,3,8811,3334,
8812,3,8912,3334,
8912,3,9013,3334,
9013,3,9113,3334,
9114,3,9214,3334,
9214,3,9315,3334,
9315,3,9416,3334,
9416,3,9517,3334,
9517,3,9618,3334,
9618,3,9718,3334,
9718,3,9819,3334,
9819,3,9920,3334,
9920,3,10021,3334,
10021,3,10120,3334,
10120,3,10221,3334,
10221,3,10322,3334,
10323,3,10422,3334,
10422,3,10523,3334,
10523,3,10623,3334,
10623,3,10724,3334,
10724,3,10824,3334,
10824,3,10925,3334,
10925,3,11025,3334,
11025,3,11126,3334,
11126,3,11227,3334,
11227,3,11329,3334,
11329,3,11428,3334,
11428,3,11530,3334,
11530,3,11629,3334,
11629,3,11730,3334,
11730,3,11831,3334,
11831,3,11931,3334,
11934,3,12036,3334,
12036,3,12133,3334,
12133,3,12235,3334,
12235,3,12336,3334,
12336,3,12435,3334,
12435,3,12536,3334,
12536,3,12636,3334,
12637,3,12737,3334,
12738,3,12838,3334,
12838,3,12938,3334,
12938,3,13039,3334,
13040,3,13140,3334,
13140,3,13241,3334,
13242,3,13342,3334,
13342,3,13444,3334,
13445,3,13545,3334,
13546,3,13644,3334,
13645,3,13745,3334,
13746,3,13846,3334,
13846,3,13947,3334,
13947,3,14048,3334,
14048,3,14149,3334,
14150,3,14250,3334,
14250,3,14351,3334,
14351,3,14452,3334,
14452,3,14553,3334,
14553,3,14655,3334,
14656,3,14755,3334,
14755,3,14857,3334,
14857,3,14957,3334,
14957,3,15057,3334,
15058,3,15158,3334,
15158,3,15259,3334,
15259,3,15360,3334,
15360,3,15461,3334,
15461,3,15565,3334,
15565,3,15663,3334,
15664,3,15765,3334,
15768,3,15866,3334,
15866,3,15968,3334,
15968,3,16068,3334,
16068,3,16173,3334,
