App,Package,Start Time,Duration,Filename
"System",,"Oct 26, 2019 @ 05:51:56 PM","3 min 42 sec","Trepn_2019.10.26_175156.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",
0,3,15,963897,
15,3,117,963897,
117,3,165,963897,
165,3,266,963897,
266,3,366,963897,
366,3,466,963897,
466,3,567,963897,
567,3,668,963897,
669,3,769,963897,
769,3,868,963897,
868,3,968,963897,
969,3,1069,963897,
1069,3,1170,963897,
1170,3,1270,963897,
1270,3,1371,963897,
1373,3,1471,963897,
1471,3,1571,963897,
1571,3,1672,963897,
1672,3,1772,963897,
1773,3,1872,963897,
1873,3,1973,963897,
1973,3,2075,963897,
2076,3,2174,963897,
2175,3,2274,963897,
2275,3,2378,963897,
2378,3,2481,963897,
2481,3,2578,963897,
2578,3,2679,963897,
2679,3,2779,963897,
2780,3,2881,963897,
2881,3,2982,963897,
2983,3,3081,963897,
3081,3,3182,963897,
3182,3,3282,963897,
3282,3,3383,963897,
3383,3,3483,963897,
3483,3,3583,963897,
3584,3,3684,963897,
3684,3,3784,963897,
3784,3,3885,963897,
3885,3,3985,963897,
3985,3,4086,963897,
4086,3,4187,963897,
4188,3,4288,963897,
4288,3,4388,963897,
4388,3,4489,963897,
4489,3,4589,963897,
4590,3,4690,963897,
4690,3,4793,963897,
4793,3,4892,963897,
4893,3,4994,963897,
4994,3,5093,963897,
5093,3,5194,963897,
5195,3,5295,963897,
5295,3,5396,963897,
5396,3,5497,963897,
5497,3,5597,963897,
5597,3,5698,963897,
5700,3,5798,963897,
5799,3,5899,963897,
5900,3,6001,963897,
6002,3,6102,963897,
6103,3,6202,963897,
6202,3,6302,963897,
6303,3,6405,963897,
6405,3,6505,963897,
6505,3,6605,963897,
6605,3,6705,963897,
6705,3,6806,963897,
6806,3,6906,963897,
6906,3,7007,963897,
7007,3,7108,963897,
7109,3,7208,963897,
7208,3,7309,963897,
7309,3,7410,963897,
7411,3,7511,963897,
7511,3,7611,963897,
7611,3,7712,963897,
7712,3,7813,963897,
7813,3,7914,963897,
7914,3,8014,963897,
8014,3,8115,963897,
8115,3,8216,963897,
8216,3,8317,963897,
8317,3,8417,963897,
8417,3,8517,963897,
8517,3,8618,963897,
8618,3,8719,963897,
8719,3,8819,963897,
8819,3,8919,963897,
8920,3,9020,963897,
9020,3,9121,963897,
9121,3,9223,963897,
9223,3,9324,963897,
9324,3,9424,963897,
9424,3,9527,963897,
9528,3,9625,963897,
9625,3,9725,963897,
9725,3,9826,963897,
9826,3,9926,963897,
9927,3,10027,963897,
10027,3,10128,963897,
10128,3,10228,963897,
10228,3,10328,963897,
10329,3,10429,963897,
10429,3,10530,963897,
10530,3,10630,963897,
10630,3,10730,963897,
10730,3,10831,963897,
10831,3,10931,963897,
10931,3,11032,963897,
11032,3,11133,963897,
11133,3,11233,963897,
11233,3,11334,963897,
11334,3,11434,963897,
11434,3,11534,963897,
11535,3,11636,963897,
11636,3,11736,963897,
11736,3,11837,963897,
11837,3,11941,963897,
11942,3,12037,963897,
12037,3,12138,963897,
12138,3,12238,963897,
12238,3,12340,963897,
12341,3,12441,963897,
12441,3,12543,963897,
12543,3,12643,963897,
12643,3,12743,963897,
12744,3,12844,963897,
12844,3,12945,963897,
12945,3,13046,963897,
13046,3,13146,963897,
13146,3,13246,3341,
13247,3,13347,3341,
13348,3,13448,3341,
13448,3,13549,3341,
13549,3,13650,3341,
13650,3,13751,3341,
13751,3,13852,3341,
13852,3,13953,3341,
13954,3,14054,3341,
14055,3,14159,3341,
14159,3,14261,3341,
14262,3,14360,3341,
14360,3,14410,3341,
14410,3,14511,3341,
14511,3,14612,3341,
14612,3,14712,3341,
14713,3,14813,3341,
14814,3,14914,3341,
14914,3,15015,3341,
15015,3,15116,3341,
15117,3,15217,3341,
15217,3,15318,3341,
15318,3,15418,3341,
15419,3,15520,3341,
15520,3,15624,3341,
15624,3,15722,3341,
15722,3,15822,3341,
15822,3,15927,3341,
15927,3,16027,3341,
16029,3,16128,3341,
16128,3,16229,3341,
16229,3,16329,3341,
16330,3,16430,3341,
16430,3,16531,3341,
16531,3,16632,3341,
16632,3,16733,3341,
16733,3,16834,3341,
16835,3,16935,3341,
16935,3,17035,3341,
17035,3,17135,3341,
17135,3,17236,3341,
17236,3,17336,3341,
17336,3,17438,3341,
17438,3,17539,3341,
17539,3,17640,3341,
17640,3,17740,3341,
17741,3,17841,3341,
17841,3,17941,3341,
17941,3,18042,3341,
18042,3,18142,3341,
18142,3,18243,3341,
18244,3,18345,3341,
18345,3,18446,3341,
18447,3,18546,3341,
18546,3,18646,3341,
18646,3,18747,3341,
18748,3,18848,3341,
18848,3,18951,3341,
18951,3,19050,3341,
19050,3,19150,3341,
19150,3,19251,3341,
19251,3,19352,3341,
19352,3,19453,3341,
19453,3,19553,3341,
19554,3,19654,3341,
19654,3,19755,3341,
19755,3,19855,3341,
19855,3,19957,3341,
19957,3,20058,3341,
20058,3,20160,3341,
20160,3,20260,3341,
20260,3,20359,3341,
20359,3,20461,3341,
20462,3,20561,3341,
20561,3,20664,3341,
20664,3,20763,3341,
20764,3,20865,3341,
20865,3,20965,3341,
20965,3,21066,3341,
21066,3,21166,3341,
21166,3,21268,3341,
21268,3,21368,3341,
21368,3,21469,3341,
21469,3,21570,3341,
21571,3,21671,3341,
21671,3,21772,3341,
21772,3,21876,3341,
21877,3,21974,3341,
21974,3,22074,3341,
22074,3,22176,3341,
22176,3,22278,3341,
22278,3,22379,3341,
22379,3,22480,3341,
22481,3,22580,3341,
