App,Package,Start Time,Duration,Filename
"System",,"Oct 26, 2019 @ 02:18:50 AM","3 min 42 sec","Trepn_2019.10.26_021849.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",
0,3,17,136398,
18,3,118,136398,
118,3,168,136398,
168,3,269,136398,
269,3,369,136398,
370,3,469,136398,
470,3,570,136398,
570,3,670,136398,
671,3,771,136398,
771,3,872,136398,
872,3,972,136398,
972,3,1072,136398,
1072,3,1172,136398,
1173,3,1273,136398,
1273,3,1374,136398,
1374,3,1475,136398,
1475,3,1576,136398,
1576,3,1676,136398,
1676,3,1776,136398,
1777,3,1878,136398,
1878,3,1979,136398,
1979,3,2079,136398,
2080,3,2180,136398,
2181,3,2281,136398,
2282,3,2383,136398,
2384,3,2488,136398,
2488,3,2584,136398,
2585,3,2685,136398,
2685,3,2785,136398,
2786,3,2886,136398,
2886,3,2987,136398,
2987,3,3087,136398,
3087,3,3187,136398,
3187,3,3288,136398,
3288,3,3388,136398,
3388,3,3489,136398,
3489,3,3590,136398,
3591,3,3690,136398,
3690,3,3791,136398,
3791,3,3891,136398,
3891,3,3997,136398,
3997,3,4092,136398,
4093,3,4194,136398,
4194,3,4294,136398,
4295,3,4395,136398,
4395,3,4496,136398,
4496,3,4596,136398,
4597,3,4697,136398,
4697,3,4797,136398,
4798,3,4898,136398,
4898,3,4999,136398,
5000,3,5100,136398,
5100,3,5200,136398,
5200,3,5301,136398,
5302,3,5402,136398,
5402,3,5503,136398,
5503,3,5606,136398,
5607,3,5704,136398,
5704,3,5805,136398,
5805,3,5905,136398,
5906,3,6007,136398,
6007,3,6107,136398,
6107,3,6208,136398,
6208,3,6308,136398,
6309,3,6409,136398,
6409,3,6511,136398,
6511,3,6611,136398,
6611,3,6713,136398,
6714,3,6812,136398,
6812,3,6912,52846,
6913,3,7013,52846,
7013,3,7113,52846,
7113,3,7214,52846,
7214,3,7315,52846,
7315,3,7416,52846,
7416,3,7516,52846,
7516,3,7616,52846,
7616,3,7716,52846,
7717,3,7817,52846,
7817,3,7918,52846,
7918,3,8018,52846,
8019,3,8118,52846,
8118,3,8219,52846,
8219,3,8319,52846,
8319,3,8422,52846,
8422,3,8520,52846,
8521,3,8622,52846,
8622,3,8722,52846,
8724,3,8823,52846,
8823,3,8923,52846,
8923,3,9024,52846,
9024,3,9124,52846,
9125,3,9225,52846,
9225,3,9325,52846,
9326,3,9426,52846,
9426,3,9526,52846,
9526,3,9627,52846,
9627,3,9727,52846,
9727,3,9828,52846,
9828,3,9930,52846,
9930,3,10031,52846,
10032,3,10132,52846,
10132,3,10233,52846,
10233,3,10333,52846,
10333,3,10434,52846,
10434,3,10534,52846,
10534,3,10635,52846,
10635,3,10736,52846,
10736,3,10838,52846,
10838,3,10938,52846,
10938,3,11039,52846,
11039,3,11140,52846,
11140,3,11240,52846,
11240,3,11340,52846,
11341,3,11441,52846,
11441,3,11541,52846,
11542,3,11642,52846,
11643,3,11742,52846,
11742,3,11843,52846,
11844,3,11943,52846,
11943,3,12046,52846,
12046,3,12145,52846,
12145,3,12246,52846,
12246,3,12347,52846,
12348,3,12447,52846,
12448,3,12552,52846,
12552,3,12654,52846,
12654,3,12754,52846,
12755,3,12855,52846,
12855,3,12955,52846,
