App,Package,Start Time,Duration,Filename
"System",,"Oct 27, 2019 @ 09:58:29 PM","3 min 31 sec","Trepn_2019.10.27_215829.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",
0,3,0,29393,
7,3,101,29393,
101,3,202,29393,
202,3,302,29393,
302,3,402,29393,
403,3,503,29393,
503,3,603,29393,
603,3,704,29393,
704,3,804,29393,
804,3,905,29393,
905,3,1006,29393,
1006,3,1106,29393,
1106,3,1207,29393,
1207,3,1307,29393,
1308,3,1409,29393,
1409,3,1509,29393,
1509,3,1609,29393,
1609,3,1660,29393,
1660,3,1760,29393,
1760,3,1861,29393,
1861,3,1962,29393,
1962,3,2063,29393,
2063,3,2162,29393,
2162,3,2262,29393,
2263,3,2363,29393,
2363,3,2463,29393,
2463,3,2565,29393,
2565,3,2667,29393,
2667,3,2768,29393,
2769,3,2867,29393,
2867,3,2967,29393,
2968,3,3068,29393,
3068,3,3169,29393,
3169,3,3271,29393,
3272,3,3371,29393,
3371,3,3470,29393,
3470,3,3571,29393,
3571,3,3671,29393,
3672,3,3772,29393,
3772,3,3873,29393,
3873,3,3973,29393,
3974,3,4073,29393,
4073,3,4174,29393,
4176,3,4275,29393,
4277,3,4376,29393,
4377,3,4476,29393,
4478,3,4578,29393,
4578,3,4678,29393,
4678,3,4778,29393,
4779,3,4878,29393,
4879,3,4979,29393,
4979,3,5080,29393,
5080,3,5181,29393,
5181,3,5282,29393,
5282,3,5382,29393,
5383,3,5482,29393,
5483,3,5584,29393,
5584,3,5684,29393,
5684,3,5787,29393,
5788,3,5886,29393,
5886,3,5987,29393,
5987,3,6087,29393,
6087,3,6189,29393,
6190,3,6289,29393,
6289,3,6389,29393,
6389,3,6490,29393,
6491,3,6592,29393,
6592,3,6691,29393,
6691,3,6793,29393,
6793,3,6894,29393,
6894,3,6995,29393,
6995,3,7097,29393,
7098,3,7197,29393,
7197,3,7297,29393,
7298,3,7399,29393,
7403,3,7499,29393,
7499,3,7600,29393,
7600,3,7700,29393,
7701,3,7802,29393,
7803,3,7902,29393,
7902,3,8003,29393,
8003,3,8103,29393,
8104,3,8205,29393,
8205,3,8306,29393,
8306,3,8407,29393,
8407,3,8507,29393,
8507,3,8608,29393,
8608,3,8709,29393,
8709,3,8809,29393,
8810,3,8910,29393,
8911,3,9011,29393,
9012,3,9112,29393,
9112,3,9213,29393,
9213,3,9315,29393,
9315,3,9416,29393,
9418,3,9518,29393,
9518,3,9619,29393,
9620,3,9719,29393,
9719,3,9819,29393,
9819,3,9920,29393,
9920,3,10021,29393,
10021,3,10121,29393,
10122,3,10222,29393,
10222,3,10323,29393,
10323,3,10424,29393,
10424,3,10525,29393,
10525,3,10626,29393,
10626,3,10727,29393,
10728,3,10831,29393,
10831,3,10929,29393,
10929,3,11029,29393,
11029,3,11130,29393,
11130,3,11231,29393,
11231,3,11332,29393,
11332,3,11432,29393,
11432,3,11533,29393,
11533,3,11634,29393,
11634,3,11735,29393,
11736,3,11836,29393,
11836,3,11936,29393,
11936,3,12037,29393,
12037,3,12138,29393,
12139,3,12239,29393,
12240,3,12339,29393,
12340,3,12440,29393,
12440,3,12541,29393,
12541,3,12642,29393,
12643,3,12743,29393,
12743,3,12843,29393,
12844,3,12944,29393,
12947,3,13045,29393,
13045,3,13146,29393,
13146,3,13247,29393,
13247,3,13351,29393,
13351,3,13448,29393,
13448,3,13549,29393,
13549,3,13650,29393,
13651,3,13751,29393,
13751,3,13851,29393,
13852,3,13952,29393,
13952,3,14053,29393,
14053,3,14153,29393,
14154,3,14254,29393,
14255,3,14355,29393,
14356,3,14456,29393,
14456,3,14557,29393,
14557,3,14658,29393,
14658,3,14759,29393,
14759,3,14860,29393,
14862,3,14960,29393,
14961,3,15061,29393,
15061,3,15163,29393,
15163,3,15213,29393,
15213,3,15315,29393,
15315,3,15415,29393,
15415,3,15516,29393,
15516,3,15616,29393,
15616,3,15716,29393,
15717,3,15817,29393,
15818,3,15922,29393,
15922,3,16020,29393,
16020,3,16120,29393,
16121,3,16221,29393,
16221,3,16322,29393,
16323,3,16424,29393,
16424,3,16524,29393,
16524,3,16625,29393,
16625,3,16726,29393,
16727,3,16827,29393,
16828,3,16928,29393,
16928,3,17028,29393,
17029,3,17129,29393,
17130,3,17230,29393,
17230,3,17331,29393,
17331,3,17433,29393,
17433,3,17533,29393,
17533,3,17634,29393,
17634,3,17736,29393,
17736,3,17837,29393,
17837,3,17938,29393,
17938,3,18039,29393,
18039,3,18143,29393,
18143,3,18243,29393,
18243,3,18344,29393,
18344,3,18444,29393,
18444,3,18545,29393,
18545,3,18646,29393,
18646,3,18747,29393,
18747,3,18848,29393,
18848,3,18949,29393,
18949,3,19049,29393,
19049,3,19150,29393,
19150,3,19251,29393,
19252,3,19352,29393,
19352,3,19453,29393,
19453,3,19554,29393,
19560,3,19656,29393,
19656,3,19756,29393,
19756,3,19857,29393,
19858,3,19960,29393,
19960,3,20059,29393,
20059,3,20160,29393,
20161,3,20261,29393,
20261,3,20362,29393,
20362,3,20463,29393,
20463,3,20563,29393,
20564,3,20664,29393,
20664,3,20764,29393,
20765,3,20865,29393,
20866,3,20966,29393,
20966,3,21067,29393,
21067,3,21167,29393,
21168,3,21269,29393,
21269,3,21371,29393,
21371,3,21471,29393,
21472,3,21572,29393,
21572,3,21672,29393,
21673,3,21775,29393,
21775,3,21876,29393,
21876,3,21975,29393,
21975,3,22076,29393,
22078,3,22179,29393,
22179,3,22280,29393,
22280,3,22381,29393,
22381,3,22481,29393,
22482,3,22582,29393,
22583,3,22682,29393,
22682,3,22783,29393,
22783,3,22884,29393,
22884,3,22985,29393,
22986,3,23087,29393,
23087,3,23187,29393,
23187,3,23287,29393,
23288,3,23388,4007,
23389,3,23489,4007,
23489,3,23590,4007,
23590,3,23690,4007,
23691,3,23793,4007,
23793,3,23893,4007,
23893,3,23993,4007,
23993,3,24094,4007,
24095,3,24198,4007,
24198,3,24296,4007,
24296,3,24396,4007,
24397,3,24499,4007,
24499,3,24600,4007,
24601,3,24701,4007,
24702,3,24802,4007,
24802,3,24903,4007,
24904,3,25004,4007,
25004,3,25104,4007,
25105,3,25205,4007,
25206,3,25307,4007,
25307,3,25408,4007,
25408,3,25509,4007,
25509,3,25609,4007,
25609,3,25711,4007,
25712,3,25811,4007,
25812,3,25912,4007,
25912,3,26013,4007,
26013,3,26113,4007,
26114,3,26215,4007,
26215,3,26315,4007,
26315,3,26416,4007,
26416,3,26518,4007,
26518,3,26618,4007,
26618,3,26718,4007,
26719,3,26820,4007,
26820,3,26869,4007,
26870,3,26971,4007,
26971,3,27071,4007,
27071,3,27171,4007,
27172,3,27272,4007,
27272,3,27373,4007,
27373,3,27474,4007,
27474,3,27575,4007,
27576,3,27676,4007,
27677,3,27776,4007,
27777,3,27879,4007,
27879,3,27978,4007,
27978,3,28079,4007,
28079,3,28179,4007,
28179,3,28280,4007,
28280,3,28380,4007,
28381,3,28484,4007,
28484,3,28585,4007,
28585,3,28686,4007,
28686,3,28787,4007,
28787,3,28888,4007,
28889,3,28989,4007,
28989,3,29091,4007,
29091,3,29191,4007,
29191,3,29291,4007,
29291,3,29392,4007,
29393,3,29494,4007,
29494,3,29595,4007,
29595,3,29695,4007,
29695,3,29798,4007,
29798,3,29898,4007,
29899,3,29999,4007,
29999,3,30100,4007,
30100,3,30201,4007,
30202,3,30302,4007,
30302,3,30403,4007,
30403,3,30504,4007,
30504,3,30603,4007,
30604,3,30704,4007,
30704,3,30805,3336,
30806,3,30906,3336,
30907,3,31008,3336,
31008,3,31109,3336,
31109,3,31211,3336,
31212,3,31312,3336,
31313,3,31413,3336,
31413,3,31516,3336,
31518,3,31615,3336,
31616,3,31716,3336,
31716,3,31816,3336,
31817,3,31920,3336,
31920,3,32018,3336,
32018,3,32119,3336,
32119,3,32219,3336,
32219,3,32320,3336,
32320,3,32421,3336,
32421,3,32522,3336,
32522,3,32624,3336,
32624,3,32724,3336,
32724,3,32826,3336,
32826,3,32928,3336,
32928,3,33029,3336,
33029,3,33129,3336,
33130,3,33232,3336,
33233,3,33331,3336,
33332,3,33432,3336,
33432,3,33533,3336,
33534,3,33633,3336,
33634,3,33735,3336,
33736,3,33835,3336,
33835,3,33936,3336,
33937,3,34038,3336,
34039,3,34138,3336,
34138,3,34238,3336,
34238,3,34340,3336,
34341,3,34441,3336,
34442,3,34542,3336,
34542,3,34642,3336,
34643,3,34744,3336,
34744,3,34844,3336,
34844,3,34945,3336,
34945,3,35046,3336,
35048,3,35147,3336,
35147,3,35247,3336,
35248,3,35348,3336,
35349,3,35449,3336,
35450,3,35550,3336,
35551,3,35652,3336,
35652,3,35752,3336,
35753,3,35853,3336,
35853,3,35958,3336,
35958,3,36056,3336,
36056,3,36159,3336,
36159,3,36259,3336,
36260,3,36361,3336,
36361,3,36461,3336,
36461,3,36561,3336,
36561,3,36662,3336,
36662,3,36763,3336,
36763,3,36863,3336,
36864,3,36964,3336,
36965,3,37065,3336,
37065,3,37166,3336,
37166,3,37267,3336,
37267,3,37368,3336,
37369,3,37419,3336,
37420,3,37520,3336,
37520,3,37620,3336,
37620,3,37721,3336,
37722,3,37821,3336,
37821,3,37922,3336,
37922,3,38023,3336,
38023,3,38173,3336,
38174,3,38224,3336,
38225,3,38376,3336,
38376,3,38429,3336,
38429,3,38531,3336,
38531,3,38630,3336,
38630,3,38731,3336,
38731,3,38832,3336,
38832,3,38932,3336,
38933,3,39033,3336,
39034,3,39135,3336,
39135,3,39235,3336,
39235,3,39336,3336,
39337,3,39438,3336,
39439,3,39538,3336,
39539,3,39639,3336,
39639,3,39742,3336,
39743,3,39840,3336,
39840,3,39942,3336,
39942,3,40042,3336,
40043,3,40143,3336,
40143,3,40243,3336,
40243,3,40344,3336,
40344,3,40445,3336,
40445,3,40546,3336,
40546,3,40647,3336,
40647,3,40748,3336,
40748,3,40848,3336,
40848,3,40949,3336,
40949,3,41050,3336,
41050,3,41150,3336,
41151,3,41251,3336,
41251,3,41352,3336,
41352,3,41453,3336,
41453,3,41554,3336,
41555,3,41655,3336,
41656,3,41756,3336,
41757,3,41857,3336,
41857,3,41959,3336,
41959,3,42059,3336,
42060,3,42161,3336,
42161,3,42261,3336,
42261,3,42365,3336,
42367,3,42463,3336,
42464,3,42564,3336,
42565,3,42665,3336,
42665,3,42766,3336,
42766,3,42866,3336,
42866,3,42967,3336,
42967,3,43069,3336,
43069,3,43169,3336,
43170,3,43270,3336,
43270,3,43371,3336,
43371,3,43472,3336,
43472,3,43575,3336,
43575,3,43674,3336,
43675,3,43775,3336,
43775,3,43876,3336,
43876,3,43977,3336,
43977,3,44078,3336,
44078,3,44179,3336,
44179,3,44279,3336,
44280,3,44381,3336,
44381,3,44481,3336,
44481,3,44583,3336,
44584,3,44684,3336,
44684,3,44784,3336,
44784,3,44885,3336,
44885,3,44986,3336,
44989,3,45087,3336,
45087,3,45187,3336,
45188,3,45288,3336,
45288,3,45388,3336,
45389,3,45489,3336,
45489,3,45591,3336,
45591,3,45692,3336,
45693,3,45793,3336,
45793,3,45893,3336,
45894,3,45996,3336,
45996,3,46095,3336,
46095,3,46197,3336,
46197,3,46296,3336,
46296,3,46399,3336,
46400,3,46498,3336,
46499,3,46599,3336,
46599,3,46700,3336,
46700,3,46800,3336,
46801,3,46901,3336,
46901,3,47003,3336,
47003,3,47103,3336,
47104,3,47204,3336,
47204,3,47305,3336,
47305,3,47406,3336,
47406,3,47507,3336,
47507,3,47608,3336,
47608,3,47708,3336,
47709,3,47809,3336,
47809,3,47910,3336,
47910,3,48011,3336,
48011,3,48112,3336,
48112,3,48212,3336,
48216,3,48316,3336,
48316,3,48416,3336,
48417,3,48518,3336,
48519,3,48618,3336,
48618,3,48718,3336,
48719,3,48820,3336,
48821,3,48919,3336,
48919,3,49021,3336,
49021,3,49122,3336,
49122,3,49223,3336,
49223,3,49324,3336,
49324,3,49424,3336,
49424,3,49525,3336,
49525,3,49625,3336,
49626,3,49727,3336,
49727,3,49777,3336,
49777,3,49877,3336,
49877,3,49979,3336,
49979,3,50079,3336,
50080,3,50230,3336,
50231,3,50281,3336,
50282,3,50384,3336,
50384,3,50483,3336,
50483,3,50583,3336,
50584,3,50684,3336,
50684,3,50784,3336,
50785,3,50886,3336,
50886,3,50986,3336,
50986,3,51087,3336,
51087,3,51188,3336,
51188,3,51289,3336,
51289,3,51389,3336,
51389,3,51490,3336,
51490,3,51591,3336,
51591,3,51692,3336,
51692,3,51793,3336,
51793,3,51893,3336,
51894,3,51995,3336,
51995,3,52095,3336,
52095,3,52196,3336,
52197,3,52297,3336,
52297,3,52398,3336,
52398,3,52499,3336,
52499,3,52604,3336,
52604,3,52704,3336,
52704,3,52805,3336,
52805,3,52905,3336,
52906,3,53007,3336,
53007,3,53108,3336,
53108,3,53208,3336,
53209,3,53309,3336,
53310,3,53410,3336,
53410,3,53511,3336,
53512,3,53611,3336,
53612,3,53713,3336,
53713,3,53814,3336,
53814,3,53915,3336,
53915,3,54016,3336,
54016,3,54116,3336,
54117,3,54219,3336,
54220,3,54321,3336,
54321,3,54422,4677,
54422,3,54522,4677,
54522,3,54623,4677,
54623,3,54724,4677,
54724,3,54824,4677,
54825,3,54926,4677,
54926,3,55028,4677,
55028,3,55128,4677,
55128,3,55229,4677,
55229,3,55330,4677,
55330,3,55430,4677,
55431,3,55532,4677,
55533,3,55633,4677,
55634,3,55735,4677,
55736,3,55834,4677,
55835,3,55935,4677,
55936,3,56036,4677,
56036,3,56140,4677,
56140,3,56238,4677,
56238,3,56338,4677,
56339,3,56439,4677,
56439,3,56540,4677,
56540,3,56641,4677,
56641,3,56742,4677,
56742,3,56842,4677,
56842,3,56943,4677,
56944,3,57044,4677,
57044,3,57146,4677,
57146,3,57247,4677,
57247,3,57348,4677,
57348,3,57448,4677,
57448,3,57549,4677,
57549,3,57652,4677,
57652,3,57752,4677,
57752,3,57852,4677,
57852,3,57953,4677,
57953,3,58053,4677,
58054,3,58155,4677,
58155,3,58255,4677,
58255,3,58356,4677,
58356,3,58456,4677,
58456,3,58557,4677,
58557,3,58658,4677,
58659,3,58759,4677,
58759,3,58859,4677,
58860,3,58960,4677,
58960,3,59060,4677,
59060,3,59161,4677,
59162,3,59263,4677,
59263,3,59364,4677,
59364,3,59464,4677,
59464,3,59565,4677,
59566,3,59666,4677,
59668,3,59767,4677,
59767,3,59868,4677,
59868,3,59968,4677,
59969,3,60070,4677,
60071,3,60170,4677,
60170,3,60271,4677,
60271,3,60372,4677,
60372,3,60472,4677,
60472,3,60574,4677,
60575,3,60676,4677,
60676,3,60775,4677,
60775,3,60876,4677,
60876,3,60977,4677,
60978,3,61077,4677,
61077,3,61179,4677,
61179,3,61280,4677,
61280,3,61330,4677,
61330,3,61430,4677,
61431,3,61532,4677,
61532,3,61632,4677,
61633,3,61733,4677,
61733,3,61835,3336,
61835,3,61935,3336,
61935,3,62035,3336,
62035,3,62136,3336,
62138,3,62238,3336,
62238,3,62338,3336,
62339,3,62439,3336,
62439,3,62540,3336,
62540,3,62640,3336,
62640,3,62741,3336,
62741,3,62843,3336,
62843,3,62943,3336,
62944,3,63044,3336,
63044,3,63145,3336,
63145,3,63247,3336,
63248,3,63347,3336,
63347,3,63447,3336,
63447,3,63549,3336,
63549,3,63649,3336,
63649,3,63750,3336,
63750,3,63850,3336,
63851,3,63952,3336,
63952,3,64052,3336,
64052,3,64153,3336,
64153,3,64255,3336,
64255,3,64355,3336,
64356,3,64457,3336,
64457,3,64558,3336,
64558,3,64658,3336,
64659,3,64760,3336,
64760,3,64861,3336,
64861,3,64962,3336,
64962,3,65063,3336,
65064,3,65164,3336,
65164,3,65265,3336,
65265,3,65366,3336,
65366,3,65467,3336,
65467,3,65568,3336,
65569,3,65669,3336,
65669,3,65770,3336,
65770,3,65870,3336,
65870,3,65971,3336,
65972,3,66073,3336,
66074,3,66174,3336,
66175,3,66275,3336,
66275,3,66375,3336,
66376,3,66476,3336,
66476,3,66578,3336,
66579,3,66679,3336,
66679,3,66780,3336,
66780,3,66880,3336,
66880,3,66981,3336,
66981,3,67082,3336,
67082,3,67183,3336,
67183,3,67283,3336,
67284,3,67384,3336,
67384,3,67485,3336,
67485,3,67587,3336,
67587,3,67687,3336,
67688,3,67788,3336,
67789,3,67891,3336,
67892,3,67990,3336,
67991,3,68091,3336,
68091,3,68193,3336,
68194,3,68293,3336,
68294,3,68393,3336,
68393,3,68493,3336,
68494,3,68594,3336,
68595,3,68695,3336,
68696,3,68796,3336,
68796,3,68897,3336,
68897,3,68998,3336,
68998,3,69099,3336,
69100,3,69199,3336,
69200,3,69300,3336,
69301,3,69401,3336,
69401,3,69501,3336,
69502,3,69602,3336,
69602,3,69703,3336,
69703,3,69804,3336,
69805,3,69906,3336,
69906,3,70006,3336,
70007,3,70108,3336,
70108,3,70211,3336,
70212,3,70312,3336,
70312,3,70411,3336,
70411,3,70511,3336,
70512,3,70612,3336,
70612,3,70713,3336,
70713,3,70815,3336,
70815,3,70914,3336,
70914,3,71015,3336,
71016,3,71116,3336,
71116,3,71218,3336,
71219,3,71319,3336,
71320,3,71418,3336,
71419,3,71519,3336,
71520,3,71570,3336,
71570,3,71671,3336,
71671,3,71772,3336,
71772,3,71872,3336,
71873,3,71973,3336,
71973,3,72073,3336,
72073,3,72174,3336,
72175,3,72275,3336,
72275,3,72376,3336,
72376,3,72477,3336,
72477,3,72578,3336,
72578,3,72679,3336,
72679,3,72779,3336,
72779,3,72880,3336,
72880,3,72980,3336,
72981,3,73081,3336,
73082,3,73182,3336,
73183,3,73283,3336,
73283,3,73384,3336,
73384,3,73484,3336,
73484,3,73585,3336,
73585,3,73686,3336,
73686,3,73787,3336,
73787,3,73888,3336,
73888,3,73988,3336,
73988,3,74089,3336,
74089,3,74190,3336,
74191,3,74291,3336,
74291,3,74392,3336,
74392,3,74492,3336,
74492,3,74593,3336,
74594,3,74694,3336,
74695,3,74796,3336,
74797,3,74899,3336,
74899,3,74997,3336,
74997,3,75098,3336,
75098,3,75199,3336,
75199,3,75300,3336,
75300,3,75401,3336,
75401,3,75502,3336,
75502,3,75603,3336,
75603,3,75704,3336,
75705,3,75806,3336,
75806,3,75908,3336,
75909,3,76008,3336,
76008,3,76108,3336,
76108,3,76210,3336,
76210,3,76311,3336,
76311,3,76412,3336,
76412,3,76512,3336,
76512,3,76613,3336,
76614,3,76716,3336,
76717,3,76815,3336,
76816,3,76915,3336,
76916,3,77017,3336,
77017,3,77120,3336,
77120,3,77221,3336,
77221,3,77323,3336,
77324,3,77423,3336,
77423,3,77524,3336,
77524,3,77625,3336,
77625,3,77726,3336,
77727,3,77827,3336,
77827,3,77928,3336,
77929,3,78029,3336,
78029,3,78130,3336,
78130,3,78231,3336,
78231,3,78332,3336,
78333,3,78432,3336,
